MaxN

Generated: Friday, January 12, 2018 14:52:36

Filename	Frame	Time (mins)	Period	Period time (mins)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	MaxN	Has fed
FP_201_ASH015.avi	  94735	  52.6305			FP_201_ASH015	CWS,BV	12										Carangidae	Carangoides	oblongus	37337069	2	No
FP_201_ASH015.avi	  90846	  50.4699			FP_201_ASH015	CWS,BV	12										Carangidae	Caranx	melampygus	37337050	9	No
FP_201_ASH015.avi	  44837	  24.9094			FP_201_ASH015	CWS,BV	12										Carcharhinidae	Carcharhinus	amblyrhynchos	37018030	3	Yes
FP_201_ASH015.avi	  73449	  40.8050			FP_201_ASH015	CWS,BV	12										Carcharhinidae	Carcharhinus	melanopterus	37018036	1	No
FP_201_ASH015.avi	  48390	  26.8833			FP_201_ASH015	CWS,BV	12										Carcharhinidae	Triaenodon	obesus	37018038	1	No
FP_201_ASH015.avi	  14982	   8.3233			FP_201_ASH015	CWS,BV	12										Echeneidae	Echeneis	naucrates	37336001	1	Yes
FP_201_ASH015.avi	  59679	  33.1550			FP_201_ASH015	CWS,BV	12										Lethrinidae	Lethrinus	microdon	37351011	1	No
FP_201_ASH015.avi	  11795	   6.5528			FP_201_ASH015	CWS,BV	12										Lethrinidae	Lethrinus	rubrioperculatus	37351012	1	No
FP_201_ASH015.avi	  45996	  25.5533			FP_201_ASH015	CWS,BV	12										Lutjanidae	Lutjanus	bohar	37346029	1	No
FP_201_ASH015.avi	  41842	  23.2455			FP_201_ASH015	CWS,BV	12										Lutjanidae	Lutjanus	gibbus	37346028	1	No
FP_201_ASH015.avi	  26717	  14.8428			FP_201_ASH015	CWS,BV	12										Serranidae	Aethaloperca	rogaa	37311134	1	No
FP_201_ASH015.avi	  37651	  20.9172			FP_201_ASH015	CWS,BV	12										Serranidae	Variola	albimarginata	37311026	1	No
FP_201_ASH002.avi	  12601	   7.0005	start	   5.4700	FP_201_ASH002	CWS											Carangidae	Carangoides	ferdau	37337068	2	No
FP_201_ASH002.avi	  11054	   6.1411	start	   4.6106	FP_201_ASH002	CWS											Carangidae	Carangoides	orthogrammus	37337057	5	No
FP_201_ASH002.avi	  16279	   9.0439	start	   7.5133	FP_201_ASH002	CWS											Carangidae	Carangoides	plagiotaenia	37337070	1	No
FP_201_ASH002.avi	  11054	   6.1411	start	   4.6106	FP_201_ASH002	CWS											Carangidae	Caranx	melampygus	37337050	19	No
FP_201_ASH002.avi	  63529	  35.2939	start	  33.7633	FP_201_ASH002	CWS											Carcharhinidae	Carcharhinus	amblyrhynchos	37018030	1	No
FP_201_ASH002.avi	  74286	  41.2700	start	  39.7394	FP_201_ASH002	CWS											Lethrinidae	Lethrinus	amboinensis	37351024	1	No
FP_201_ASH002.avi	  12408	   6.8933	start	   5.3628	FP_201_ASH002	CWS											Lethrinidae	Lethrinus	olivaceus	37351004	3	No
FP_201_ASH002.avi	  18424	  10.2355	start	   8.7050	FP_201_ASH002	CWS											Lethrinidae	Lethrinus	rubrioperculatus	37351012	3	No
FP_201_ASH002.avi	  49189	  27.3272	start	  25.7966	FP_201_ASH002	CWS											Lutjanidae	Aprion	virescens	37346027	1	No
FP_201_ASH003.avi	  25990	  14.4389			FP_201_ASH003	CWS	20										Carangidae	Carangoides	ferdau	37337068	1	No
FP_201_ASH003.avi	  55779	  30.9883			FP_201_ASH003	CWS	20										Carangidae	Caranx	melampygus	37337050	1	No
FP_201_ASH003.avi	  43151	  23.9728			FP_201_ASH003	CWS	20										Echeneidae	Echeneis	naucrates	37336001	1	No
FP_201_ASH003.avi	  28264	  15.7022			FP_201_ASH003	CWS	20										Lethrinidae	Gymnocranius	grandoculis	37351005	2	No
FP_201_ASH003.avi	  58129	  32.2939			FP_201_ASH003	CWS	20										Lethrinidae	Lethrinus	microdon	37351011	2	Yes
FP_201_ASH003.avi	  12128	   6.7378			FP_201_ASH003	CWS	20										Lethrinidae	Lethrinus	olivaceus	37351004	1	Yes
FP_201_ASH003.avi	  55484	  30.8244			FP_201_ASH003	CWS	20										Lethrinidae	Lethrinus	rubrioperculatus	37351012	3	No
FP_201_ASH003.avi	  42527	  23.6261			FP_201_ASH003	CWS	20										Lutjanidae	Aprion	virescens	37346027	1	Yes
FP_201_ASH004.avi	  42010	  23.3389			FP_201_ASH004	CWS	40										Balistidae	Abalistes	stellatus	37465011	1	No
FP_201_ASH004.avi	  48744	  27.0800			FP_201_ASH004	CWS	40										Balistidae	Sufflamen	fraenatum	37465014	2	No
FP_201_ASH004.avi	  21108	  11.7267			FP_201_ASH004	CWS	40										Carangidae	Carangoides	caeruleopinnatus	37337021	1	No
FP_201_ASH004.avi	  88746	  49.3033			FP_201_ASH004	CWS	40										Carangidae	Carangoides	orthogrammus	37337057	2	No
FP_201_ASH004.avi	  97835	  54.3527			FP_201_ASH004	CWS	40										Carangidae	Carangoides	plagiotaenia	37337070	1	No
FP_201_ASH004.avi	  51548	  28.6377			FP_201_ASH004	CWS	40										Carangidae	Caranx	melampygus	37337050	4	No
FP_201_ASH004.avi	   2926	   1.6256			FP_201_ASH004	CWS	40										Carcharhinidae	Carcharhinus	amblyrhynchos	37018030	1	No
FP_201_ASH004.avi	   8962	   4.9789			FP_201_ASH004	CWS	40										Lethrinidae	Lethrinus	amboinensis	37351024	1	No
FP_201_ASH004.avi	  56889	  31.6050			FP_201_ASH004	CWS	40										Lethrinidae	Lethrinus	nebulosus	37351008	1	No
FP_201_ASH004.avi	  57053	  31.6961			FP_201_ASH004	CWS	40										Lethrinidae	Lethrinus	olivaceus	37351004	2	No
FP_201_ASH004.avi	  10970	   6.0944			FP_201_ASH004	CWS	40										Lethrinidae	Lethrinus	ravus	37351031	1	No
FP_201_ASH004.avi	  58207	  32.3372			FP_201_ASH004	CWS	40										Lethrinidae	Lethrinus	rubrioperculatus	37351012	3	No
FP_201_ASH004.avi	  16082	   8.9344			FP_201_ASH004	CWS	40										Lethrinidae	Lethrinus	semicinctus	37351016	1	No
FP_201_ASH004.avi	   7983	   4.4350			FP_201_ASH004	CWS	40										Lutjanidae	Aprion	virescens	37346027	1	No
FP_201_ASH004.avi	 107829	  59.9049			FP_201_ASH004	CWS	40										Myliobatidae	Aetobatus	narinari	37039003	1	No
FP_201_ASH004.avi	 108757	  60.4205			FP_201_ASH004	CWS	40										Nemipteridae	Pentapodus	emeryii	37347027	2	No
FP_201_ASH004.avi	  77193	  42.8850			FP_201_ASH004	CWS	40										Rhynchobatidae	Rhynchobatus	laevis	37026003	1	No
FP_201_ASH029.avi	  33873	  18.8372			FP_201_ASH029	CWS, BV	26										Carangidae	Caranx	melampygus	37337050	1	No
FP_201_ASH029.avi	  81230	  45.1730			FP_201_ASH029	CWS, BV	26										Carcharhinidae	Carcharhinus	amblyrhynchos	37018030	2	No
FP_201_ASH029.avi	  38605	  21.4687			FP_201_ASH029	CWS, BV	26										Carcharhinidae	Triaenodon	obesus	37018038	1	No
FP_201_ASH029.avi	  45035	  25.0445			FP_201_ASH029	CWS, BV	26										Cheloniidae		sp		1	No
FP_201_ASH029.avi	  94885	  52.7667			FP_201_ASH029	CWS, BV	26										Lethrinidae	Lethrinus	xanthochilus	37351020	3	No
FP_201_ASH029.avi	   8072	   4.4889			FP_201_ASH029	CWS, BV	26										Lutjanidae	Aprion	virescens	37346027	1	No
FP_201_ASH029.avi	  37242	  20.7107			FP_201_ASH029	CWS, BV	26										Lutjanidae	Lutjanus	bohar	37346029	1	No
FP_201_ASH029.avi	  92938	  51.6839			FP_201_ASH029	CWS, BV	26										Lutjanidae	Lutjanus	decussatus	37346041	2	No
FP_201_ASH029.avi	   6343	   3.5274			FP_201_ASH029	CWS, BV	26										Lutjanidae	Lutjanus	gibbus	37346028	2	No
FP_201_ASH029.avi	  37737	  20.9860			FP_201_ASH029	CWS, BV	26										Muraenidae	Gymnothorax	fimbriatus	37060035	1	Yes
FP_201_ASH029.avi	 104312	  58.0091			FP_201_ASH029	CWS, BV	26										Serranidae		sp		1	No
FP_201_ASH029.avi	  13868	   7.7122			FP_201_ASH029	CWS, BV	26										Serranidae	Variola	albimarginata	37311026	1	No
FP_201_ASH022.avi	   4285	   2.3829			FP_201_ASH022	CWS, BV	18.2										Carangidae	Caranx	melampygus	37337050	1	Yes
FP_201_ASH022.avi	  14821	   8.2421			FP_201_ASH022	CWS, BV	18.2										Carcharhinidae	Carcharhinus	amblyrhynchos	37018030	2	Yes
FP_201_ASH022.avi	  15287	   8.5013			FP_201_ASH022	CWS, BV	18.2										Carcharhinidae	Triaenodon	obesus	37018038	1	Yes
FP_201_ASH022.avi	  11871	   6.6016			FP_201_ASH022	CWS, BV	18.2										Lethrinidae	Lethrinus	atkinsoni	37351013	2	No
FP_201_ASH022.avi	  21182	  11.7796			FP_201_ASH022	CWS, BV	18.2										Lethrinidae	Lethrinus	xanthochilus	37351020	1	No
FP_201_ASH022.avi	  30473	  16.9464			FP_201_ASH022	CWS, BV	18.2										Lutjanidae	Lutjanus	bohar	37346029	2	Yes
