OpCode,Frame,Time first seen (mins),TapeReader,Depth,Family,Genus,Species,Code,Stage
FP_201_ASH002,12364,6.8689,CWS,,Carangidae,Carangoides,ferdau,37337068,AD
FP_201_ASH002,10967,6.0928,CWS,,Carangidae,Carangoides,orthogrammus,37337057,AD
FP_201_ASH002,16279,9.0439,CWS,,Carangidae,Carangoides,plagiotaenia,37337070,AD
FP_201_ASH002,10967,6.0928,CWS,,Carangidae,Caranx,melampygus,37337050,AD
FP_201_ASH002,63529,35.2939,CWS,,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,AD
FP_201_ASH002,74286,41.27,CWS,,Lethrinidae,Lethrinus,amboinensis,37351024,AD
FP_201_ASH002,12408,6.8933,CWS,,Lethrinidae,Lethrinus,olivaceus,37351004,AD
FP_201_ASH002,12533,6.9628,CWS,,Lethrinidae,Lethrinus,rubrioperculatus,37351012,AD
FP_201_ASH002,49189,27.3272,CWS,,Lutjanidae,Aprion,virescens,37346027,AD
FP_201_ASH003,25990,14.4389,CWS,20,Carangidae,Carangoides,ferdau,37337068,AD
FP_201_ASH003,55779,30.9883,CWS,20,Carangidae,Caranx,melampygus,37337050,AD
FP_201_ASH003,43151,23.9728,CWS,20,Echeneidae,Echeneis,naucrates,37336001,AD
FP_201_ASH003,28264,15.7022,CWS,20,Lethrinidae,Gymnocranius,grandoculis,37351005,AD
FP_201_ASH003,41949,23.305,CWS,20,Lethrinidae,Lethrinus,microdon,37351011,AD
FP_201_ASH003,12128,6.7378,CWS,20,Lethrinidae,Lethrinus,olivaceus,37351004,AD
FP_201_ASH003,9603,5.335,CWS,20,Lethrinidae,Lethrinus,rubrioperculatus,37351012,AD
FP_201_ASH003,42527,23.6261,CWS,20,Lutjanidae,Aprion,virescens,37346027,AD
FP_201_ASH006,32849,18.2677,CWS,38,Carangidae,Carangoides,caeruleopinnatus,37337021,AD
FP_201_ASH006,77944,43.3456,CWS,38,Carangidae,Carangoides,orthogrammus,37337057,AD
FP_201_ASH006,18086,10.0578,CWS,38,Carangidae,Caranx,melampygus,37337050,AD
FP_201_ASH006,51956,28.8933,CWS,38,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,AD
FP_201_ASH006,99364,55.2575,CWS,38,Congridae,Gorgasia,,,AD
FP_201_ASH006,107438,59.7475,CWS,38,Dasyatidae,Dasyatis,kuhlii,37035004,AD
FP_201_ASH006,104161,57.9251,CWS,38,Echeneidae,Echeneis,naucrates,37336001,AD
FP_201_ASH006,19365,10.7691,CWS,38,Lethrinidae,Gymnocranius,sp,,AD
FP_201_ASH006,23902,13.2922,CWS,38,Lethrinidae,Lethrinus,amboinensis,37351024,AD
FP_201_ASH006,19102,10.6228,CWS,38,Lethrinidae,Lethrinus,olivaceus,37351004,AD
FP_201_ASH006,55236,30.7174,CWS,38,Lethrinidae,Lethrinus,ravus,37351031,AD
FP_201_ASH006,55236,30.7174,CWS,38,Lethrinidae,Lethrinus,rubrioperculatus,37351012,AD
FP_201_ASH006,30119,16.7495,CWS,38,Nemipteridae,Pentapodus,emeryii,37347027,AD
FP_201_ASH006,101208,56.2829,CWS,38,Rachycentridae,Rachycentron,canadum,37335001,AD
FP_201_ASH006,101528,56.4609,CWS,38,Rhinidae,Rhynchobatus,,,AD
FP_201_ASH006,59117,32.8757,CWS,38,Scombridae,Gymnosarda,unicolor,37441029,AD
FP_201_ASH012,63943,35.5239,CWS,26.6,Carangidae,Carangoides,plagiotaenia,37337070,AD
FP_201_ASH012,9710,5.3944,CWS,26.6,Carangidae,Caranx,melampygus,37337050,AD
FP_201_ASH012,27889,15.4939,CWS,26.6,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,AD
FP_201_ASH012,105191,58.4394,CWS,26.6,Carcharhinidae,Triaenodon,obesus,37018038,AD
FP_201_ASH012,6686,3.7144,CWS,26.6,Lethrinidae,Gymnocranius,grandoculis,37351005,AD
FP_201_ASH012,49397,27.4428,CWS,26.6,Lethrinidae,Lethrinus,microdon,37351011,AD
FP_201_ASH012,7247,4.0261,CWS,26.6,Lethrinidae,Lethrinus,olivaceus,37351004,AD
FP_201_ASH012,32345,17.9694,CWS,26.6,Lethrinidae,Lethrinus,rubrioperculatus,37351012,AD
FP_201_ASH014,74081,41.1561,"CWS,BV",22.8,Carangidae,Carangoides,caeruleopinnatus,37337021,AD
FP_201_ASH014,68257,37.9205,"CWS,BV",22.8,Echeneidae,Echeneis,naucrates,37336001,AD
FP_201_ASH014,51945,28.8583,"CWS,BV",22.8,Lutjanidae,Aprion,virescens,37346027,AD
FP_201_ASH014,74081,41.1561,"CWS,BV",22.8,Rhynchobatidae,Rhynchobatus,laevis,37026003,AD
FP_201_ASH017,2008,1.1167,"CWS,BV",15.1,Carangidae,Caranx,melampygus,37337050,AD
FP_201_ASH017,26649,14.8198,"CWS,BV",15.1,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,AD
FP_201_ASH017,26649,14.8198,"CWS,BV",15.1,Echeneidae,Echeneis,naucrates,37336001,AD
FP_201_ASH017,35467,19.7236,"CWS,BV",15.1,Lethrinidae,Lethrinus,olivaceus,37351004,AD
FP_201_ASH017,2008,1.1167,"CWS,BV",15.1,Lethrinidae,Lethrinus,rubrioperculatus,37351012,AD
FP_201_ASH017,17623,9.8004,"CWS,BV",15.1,Lutjanidae,Aprion,virescens,37346027,AD
FP_201_ASH017,6326,3.518,"CWS,BV",15.1,Lutjanidae,Lutjanus,bohar,37346029,J
FP_201_ASH017,17134,9.5284,"CWS,BV",15.1,Serranidae,Variola,albimarginata,37311026,AD
FP_201_ASH025,74051,41.1806,"CWS, BV",5.3,Carangidae,Carangoides,plagiotaenia,37337070,AD
FP_201_ASH025,57005,31.7011,"CWS, BV",5.3,Carangidae,Caranx,melampygus,37337050,AD
FP_201_ASH025,86429,48.0642,"CWS, BV",5.3,Lutjanidae,Aprion,virescens,37346027,AD
FP_201_ASH025,37782,21.011,"CWS, BV",5.3,Lutjanidae,Lutjanus,bohar,37346029,AD
