Bruvs,Spec,SumOfMAXNUM,CRUISENUM,LOCATION,FAMILY,GENUS,SPECIES,CAABCODE,STAGE,TIMEFIRSTSEEN,TIMEMAXNUMSEEN,TIMEFIRSTFEED,ACTIVITY,TAPEREADER
"DEH_16, 4",Abalistes stellatus,1,30,Ashmore Reef,Balistidae,Abalistes,stellatus,37465011,AD,23.76667,23.76667,,P,Ross Marriott
"DEH_16, 4",Unknown sp8,1,30,Ashmore Reef,Hydrophiidae,Unknown,sp8,37990512,AD,27.6,27.6,,P,Ross Marriott
"DEH_16, 3",Siganus argenteus,1,30,Ashmore Reef,Siganidae,Siganus,argenteus,37438007,AD,61.65,61.65,,P,Ross Marriott
"DEH_16, 3",Sufflamen fraenatum,1,30,Ashmore Reef,Balistidae,Sufflamen,fraenatum,37465014,AD,1.75,1.75,,P,Ross Marriott
"DEH_16, 3",Triaenodon obesus,1,30,Ashmore Reef,Carcharhinidae,Triaenodon,obesus,37018038,AD,49.75,49.75,,P,Ross Marriott
"DEH_16, 3",Unknown sp15,1,30,Ashmore Reef,Scaridae,Unknown,sp15,37990509,AD,2.53333,2.53333,,P,Ross Marriott
"DEH_16, 3",Unknown sp2,1,30,Ashmore Reef,Muraenidae,Unknown,sp2,37990511,AD,41.98333,41.98333,42.75,P,Ross Marriott
"DEH_16, 3",Unknown sp3,2,30,Ashmore Reef,Mullidae,Unknown,sp3,37990510,AD,31.35,31.4,,P,Ross Marriott
"DEH_16, 3",Pseudanthias sp,1,30,Ashmore Reef,Serranidae,Pseudanthias,sp,37311942,AD,33.66667,33.66667,,P,Ross Marriott
"DEH_16, 3",Zanclus cornutus,3,30,Ashmore Reef,Zanclidae,Zanclus,cornutus,37437001,AD,52.85,53.3,,P,Ross Marriott
"DEH_16, 3",Pomacanthus imperator,1,30,Ashmore Reef,Pomacanthidae,Pomacanthus,imperator,37365014,AD,55.43333,55.43333,,P,Ross Marriott
"DEH_16, 4",Aprion virescens,1,30,Ashmore Reef,Lutjanidae,Aprion,virescens,37346027,AD,36.45,36.45,,P,Ross Marriott
