OPCODE,CAMERA,OP_CODE,DATE,Year,CRUISENUM,STARTDATE,GEAR,LOCATION,Lat,Lon,DEPTH,TIMEIN,TIMEOUT,Time,SoakTime,Coral,Habitat,Complexity
DEH_1,1,DEH_1_1,18/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.22266,122.9605,22,18/10/2004,,,35.44,0,Sand,Low
DEH_1,2,DEH_1_2,18/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.22233,122.95666,21,18/10/2004,,,50.95,5,Other,Low
DEH_1,3,DEH_1_3,18/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.22183,122.95283,24,18/10/2004,,,48.02,10,Other,Medium
DEH_1,4,DEH_1_4,18/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.22166,122.95033,31,18/10/2004,,,58.18,10,Reef,Medium
DEH_1,5,DEH_1_5,18/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.223,122.94766,26,18/10/2004,,,55.71,0,Other,Low
DEH_1,6,DEH_1_6,18/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.22416,122.9435,26,18/10/2004,,,57.55,10,Reef,Medium
DEH_16,1,DEH_16_1,23/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.25533,123.26283,49,23/10/2004,23/10/2004 05:01:00 PM,01:01,61,0,Other,Low
DEH_16,2,DEH_16_2,23/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.25033,123.2635,47,23/10/2004,23/10/2004 05:09:00 PM,01:04,64,0,Other,Low
DEH_16,3,DEH_16_3,23/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.24566,123.265,50,23/10/2004,23/10/2004 05:15:00 PM,01:07,67,5,Other,Medium
DEH_16,4,DEH_16_4,23/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.239,123.2675,58,23/10/2004,23/10/2004 05:23:00 PM,01:04,64,0,Other,Low
DEH_16,5,DEH_16_5,23/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.23366,123.26583,50,23/10/2004,23/10/2004 05:30:00 PM,01:06,66,0,Sand,Low
DEH_2,1,DEH_2_1,18/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.24116,122.9255,14,18/10/2004,,,61.41,90,Reef,High
DEH_2,2,DEH_2_2,18/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.24433,122.92616,15,18/10/2004,,,62,90,Reef,Medium
DEH_2,3,DEH_2_3,18/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.2465,122.92683,13,18/10/2004,,,55.18,10,Reef,Medium
DEH_2,4,DEH_2_4,18/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.24916,122.92783,18,18/10/2004,,,56.73,30,Reef,Medium
DEH_2,5,DEH_2_5,18/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.251,122.92983,18,18/10/2004,,,33.46,50,Reef,Medium
DEH_2,6,DEH_2_6,18/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.2525,122.9315,17,18/10/2004,,,60.87,90,Reef,Medium
DEH_3,1,DEH_3_1,19/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.27483,122.976,21,19/10/2004,19/10/2004 11:19:00 AM,00:58,58,30,Reef,Medium
DEH_3,2,DEH_3_2,19/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.2735,122.97166,24,19/10/2004,19/10/2004 11:28:00 AM,01:03,63,5,Other,Medium
DEH_3,3,DEH_3_3,19/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.2715,122.9675,23,19/10/2004,19/10/2004 11:40:00 AM,01:11,71,20,Reef,Medium
DEH_3,4,DEH_3_4,19/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.26933,122.96333,19,19/10/2004,19/10/2004 11:49:00 AM,01:16,76,30,Reef,High
DEH_3,6,DEH_3_6,19/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.26616,122.95383,23,19/10/2004,19/10/2004 12:06:00 PM,01:25,85,5,Other,Medium
DEH_4,1,DEH_4_1,19/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.29166,123.08933,28,19/10/2004,19/10/2004 02:26:00 PM,01:02,62,0,Sand,Low
DEH_4,2,DEH_4_2,19/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.29133,123.09433,27,19/10/2004,19/10/2004 02:37:00 PM,01:09,69,5,Other,Medium
DEH_4,3,DEH_4_3,19/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.29166,123.09833,20,19/10/2004,19/10/2004 02:45:00 PM,01:14,74,10,Reef,Medium
DEH_4,4,DEH_4_4,19/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.293,123.103,18,19/10/2004,19/10/2004 02:54:00 PM,01:21,81,10,Reef,High
DEH_4,5,DEH_4_5,19/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.29333,123.10683,22,19/10/2004,19/10/2004 03:03:00 PM,01:28,88,5,Reef,Medium
DEH_4,6,DEH_4_6,19/10/2004,2004,30,18/10/2004,BRUVS,Ashmore Reef,-12.29333,123.1115,30,19/10/2004,19/10/2004 03:12:00 PM,01:33,93,0,Other,Low
