Date,Video,Year,Depth,Coral,Habitat,Complexity,Treatment,Sampling_time/ time_shark_appearance,Shark_reappearance,Family,Genus_species,Genus,Species ,Size_class ,Arrival_time,Departure_time,Total_time_frame,MaxN_species_(standardised_hour),N_frame_total,N_frame_species,"Passing (time, sec)","Feeding (time, sec)","Investigating (time, sec)","Circling (time, sec)",Passing_perc,Feeding_perc,Investigating_perc,Circling_perc,Shake,Bout,Bite,Bite_outside_bag,Chasing,Chased,Stealing,Stolen,Bumping,Bumped,Startle ,Hiding ,Descending,Ascending
18/10/2004,ASH2_2,2004,15,90,Reef,Medium,absent,25:24.8,0,Lethrinidae,Lethrinus rubrioperculatus,Lethrinus ,rubrioperculatus,<50,25:24.8,25:25.8,00:01.0,6.774,3,2,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/10/2004,ASH2_2,2004,15,90,Reef,Medium,absent,25:24.8,0,Lethrinidae,Lethrinus rubrioperculatus,Lethrinus ,rubrioperculatus,<50,25:24.8,25:25.4,00:00.6,6.774,3,2,0.6,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/10/2004,ASH2_2,2004,15,90,Reef,Medium,absent,25:24.8,0,Lutjanidae,Lutjanus decussatus,Lutjanus,decussatus,<50,25:25.8,25:26.2,00:00.4,1.935,3,1,0.4,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/10/2004,ASH2_2,2004,15,90,Reef,Medium,absent,25:24.8,0,Lethrinidae,Lethrinus rubrioperculatus,Lethrinus ,rubrioperculatus,<50,25:40.8,25:52.2,00:11.4,6.774,3,3,7,1.6,2.8,0,61.40350877,14.03508772,24.56140351,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0
18/10/2004,ASH2_2,2004,15,90,Reef,Medium,absent,25:24.8,0,Lethrinidae,Lethrinus rubrioperculatus,Lethrinus ,rubrioperculatus,<50,25:42.4,26:01.2,00:18.8,6.774,3,3,5,1.2,12.6,0,26.59574468,6.382978723,67.0212766,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
18/10/2004,ASH2_2,2004,15,90,Reef,Medium,absent,25:24.8,0,Lethrinidae,Lethrinus rubrioperculatus,Lethrinus ,rubrioperculatus,<50,25:47.4,25:51.0,00:03.6,6.774,3,3,1.4,0,2.2,0,38.88888889,0,61.11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/10/2004,ASH2_2,2004,15,90,Reef,Medium,absent,25:24.8,0,Lutjanidae,Lutjanus decussatus,Lutjanus,decussatus,<50,25:50.6,25:51.8,00:01.2,1.935,3,1,1.2,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/10/2004,ASH2_2,2004,15,90,Reef,Medium,absent,25:24.8,0,Lethrinidae,Lethrinus rubrioperculatus,Lethrinus ,rubrioperculatus,<50,25:51.2,25:59.4,00:08.2,6.774,2,2,5,0,3.2,0,60.97560976,0,39.02439024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/10/2004,ASH2_2,2004,15,90,Reef,Medium,absent,25:24.8,0,Lethrinidae,Lethrinus rubrioperculatus,Lethrinus ,rubrioperculatus,<50,26:02.4,26:08.6,00:06.2,6.774,3,3,6.2,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18/10/2004,ASH2_2,2004,15,90,Reef,Medium,absent,25:24.8,0,Lethrinidae,Lethrinus rubrioperculatus,Lethrinus ,rubrioperculatus,<50,26:05.8,26:47.4,00:41.6,6.774,6,5,1.6,2,38,0,3.846153846,4.807692308,91.34615385,0,0,3,3,0,0,0,0,0,1,0,0,0,0,1
