OpCode,MaxN,Family,Genus,Species
FP_201_ASH015,2,Carangidae,Carangoides,oblongus
FP_201_ASH015,9,Carangidae,Caranx,melampygus
FP_201_ASH015,3,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH015,1,Carcharhinidae,Carcharhinus,melanopterus
FP_201_ASH015,1,Carcharhinidae,Triaenodon,obesus
FP_201_ASH015,1,Echeneidae,Echeneis,naucrates
FP_201_ASH015,1,Lethrinidae,Lethrinus,microdon
FP_201_ASH015,1,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH015,1,Lutjanidae,Lutjanus,bohar
FP_201_ASH015,1,Lutjanidae,Lutjanus,gibbus
FP_201_ASH015,1,Serranidae,Aethaloperca,rogaa
FP_201_ASH015,1,Serranidae,Variola,albimarginata
FP_201_ASH002,2,Carangidae,Carangoides,ferdau
FP_201_ASH002,5,Carangidae,Carangoides,orthogrammus
FP_201_ASH002,1,Carangidae,Carangoides,plagiotaenia
FP_201_ASH002,19,Carangidae,Caranx,melampygus
FP_201_ASH002,1,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH002,1,Lethrinidae,Lethrinus,amboinensis
FP_201_ASH002,3,Lethrinidae,Lethrinus,olivaceus
FP_201_ASH002,3,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH002,1,Lutjanidae,Aprion,virescens
FP_201_ASH003,1,Carangidae,Carangoides,ferdau
FP_201_ASH003,1,Carangidae,Caranx,melampygus
FP_201_ASH003,1,Echeneidae,Echeneis,naucrates
FP_201_ASH003,2,Lethrinidae,Gymnocranius,grandoculis
FP_201_ASH003,2,Lethrinidae,Lethrinus,microdon
FP_201_ASH003,1,Lethrinidae,Lethrinus,olivaceus
FP_201_ASH003,3,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH003,1,Lutjanidae,Aprion,virescens
FP_201_ASH004,1,Balistidae,Abalistes,stellatus
FP_201_ASH004,2,Balistidae,Sufflamen,fraenatum
FP_201_ASH004,1,Carangidae,Carangoides,caeruleopinnatus
FP_201_ASH004,2,Carangidae,Carangoides,orthogrammus
FP_201_ASH004,1,Carangidae,Carangoides,plagiotaenia
FP_201_ASH004,4,Carangidae,Caranx,melampygus
FP_201_ASH004,1,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH004,1,Lethrinidae,Lethrinus,amboinensis
FP_201_ASH004,1,Lethrinidae,Lethrinus,nebulosus
FP_201_ASH004,2,Lethrinidae,Lethrinus,olivaceus
FP_201_ASH004,1,Lethrinidae,Lethrinus,ravus
FP_201_ASH004,3,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH004,1,Lethrinidae,Lethrinus,semicinctus
FP_201_ASH004,1,Lutjanidae,Aprion,virescens
FP_201_ASH004,1,Myliobatidae,Aetobatus,narinari
FP_201_ASH004,2,Nemipteridae,Pentapodus,emeryii
FP_201_ASH004,1,Rhynchobatidae,Rhynchobatus,laevis
FP_201_ASH029,1,Carangidae,Caranx,melampygus
FP_201_ASH029,2,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH029,1,Carcharhinidae,Triaenodon,obesus
FP_201_ASH029,1,Cheloniidae,,sp
FP_201_ASH029,3,Lethrinidae,Lethrinus,xanthochilus
FP_201_ASH029,1,Lutjanidae,Aprion,virescens
FP_201_ASH029,1,Lutjanidae,Lutjanus,bohar
FP_201_ASH029,2,Lutjanidae,Lutjanus,decussatus
FP_201_ASH029,2,Lutjanidae,Lutjanus,gibbus
FP_201_ASH029,1,Muraenidae,Gymnothorax,fimbriatus
FP_201_ASH029,1,Serranidae,,sp
FP_201_ASH029,1,Serranidae,Variola,albimarginata
FP_201_ASH022,1,Carangidae,Caranx,melampygus
FP_201_ASH022,2,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH022,1,Carcharhinidae,Triaenodon,obesus
FP_201_ASH022,2,Lethrinidae,Lethrinus,atkinsoni
FP_201_ASH022,1,Lethrinidae,Lethrinus,xanthochilus
FP_201_ASH022,2,Lutjanidae,Lutjanus,bohar
FP_201_ASH022,8,Lutjanidae,Lutjanus,gibbus
FP_201_ASH022,3,Lutjanidae,Macolor,macularis
FP_201_ASH022,2,Serranidae,Cephalopholis,argus
FP_201_ASH022,2,Serranidae,Cephalopholis,urodeta
FP_201_ASH022,2,Serranidae,Variola,louti
FP_201_ASH023,2,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH023,1,Carcharhinidae,Triaenodon,obesus
FP_201_ASH025,1,Carangidae,Carangoides,plagiotaenia
FP_201_ASH025,1,Carangidae,Caranx,melampygus
FP_201_ASH025,1,Lutjanidae,Aprion,virescens
FP_201_ASH025,1,Lutjanidae,Lutjanus,bohar
FP_201_ASH025,1,Lutjanidae,Lutjanus,rivulatus
FP_201_ASH025,1,Rhynchobatidae,Rhynchobatus,laevis
FP_201_ASH025,1,Serranidae,Plectropomus,laevis
FP_201_ASH025,1,Serranidae,Variola,albimarginata
FP_201_ASH012,1,Carangidae,Carangoides,plagiotaenia
FP_201_ASH012,3,Carangidae,Caranx,melampygus
FP_201_ASH012,4,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH012,1,Carcharhinidae,Triaenodon,obesus
FP_201_ASH012,10,Lethrinidae,Gymnocranius,grandoculis
FP_201_ASH012,1,Lethrinidae,Lethrinus,microdon
FP_201_ASH012,3,Lethrinidae,Lethrinus,olivaceus
FP_201_ASH012,4,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH013,1,,,
FP_201_ASH013,2,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH013,1,Cheloniidae,Chelonia,mydas
FP_201_ASH013,30,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH013,1,Lutjanidae,Aprion,virescens
FP_201_ASH013,1,Sphyraenidae,Sphyraena,barracuda
FP_201_ASH014,1,Carangidae,Carangoides,caeruleopinnatus
FP_201_ASH014,2,Echeneidae,Echeneis,naucrates
FP_201_ASH014,1,Lutjanidae,Aprion,virescens
FP_201_ASH014,2,Rhynchobatidae,Rhynchobatus,laevis
FP_201_ASH017,2,Carangidae,Caranx,melampygus
FP_201_ASH017,3,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH017,1,Echeneidae,Echeneis,naucrates
FP_201_ASH017,1,Lethrinidae,Lethrinus,olivaceus
FP_201_ASH017,3,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH017,1,Lutjanidae,Aprion,virescens
FP_201_ASH017,2,Lutjanidae,Lutjanus,bohar
FP_201_ASH017,2,Serranidae,Variola,albimarginata
FP_201_ASH006,1,Carangidae,Carangoides,caeruleopinnatus
FP_201_ASH006,1,Carangidae,Carangoides,orthogrammus
FP_201_ASH006,1,Carangidae,Caranx,melampygus
FP_201_ASH006,1,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH006,1,Congridae,Gorgasia,
FP_201_ASH006,1,Dasyatidae,Dasyatis,kuhlii
FP_201_ASH006,2,Echeneidae,Echeneis,naucrates
FP_201_ASH006,1,Lethrinidae,Gymnocranius,sp
FP_201_ASH006,2,Lethrinidae,Lethrinus,amboinensis
FP_201_ASH006,2,Lethrinidae,Lethrinus,olivaceus
FP_201_ASH006,3,Lethrinidae,Lethrinus,ravus
FP_201_ASH006,1,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH006,2,Nemipteridae,Pentapodus,emeryii
FP_201_ASH006,1,Rachycentridae,Rachycentron,canadum
FP_201_ASH006,1,Rhinidae,Rhynchobatus,
FP_201_ASH006,2,Scombridae,Gymnosarda,unicolor
FP_201_ASH007,1,Carangidae,Caranx,melampygus
FP_201_ASH007,2,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH007,1,Cheloniidae,Chelonia,mydas
FP_201_ASH007,2,Lethrinidae,Lethrinus,amboinensis
FP_201_ASH007,1,Lethrinidae,Lethrinus,olivaceus
FP_201_ASH007,3,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH007,1,Lutjanidae,Aprion,virescens
FP_201_ASH007,2,Lutjanidae,Lutjanus,decussatus
FP_201_ASH007,3,Nemipteridae,Pentapodus,emeryii
FP_201_ASH007,1,Serranidae,Variola,louti
FP_201_ASH041,1,Carangidae,Caranx,melampygus
FP_201_ASH041,1,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH041,1,Dasyatidae,Dasyatis,sp
FP_201_ASH041,2,Lethrinidae,Lethrinus,amboinensis
FP_201_ASH041,12,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH041,1,Lutjanidae,Aprion,virescens
FP_201_ASH041,1,Lutjanidae,Lutjanus,bohar
FP_201_ASH032,1,Carangidae,Caranx,ignobilis
FP_201_ASH032,4,Carangidae,Caranx,melampygus
FP_201_ASH032,1,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH032,1,Dasyatidae,Dasyatis,kuhlii
FP_201_ASH032,1,Dasyatidae,Himantura,fai
FP_201_ASH032,3,Lethrinidae,Lethrinus,microdon
FP_201_ASH032,4,Lethrinidae,Lethrinus,ravus
FP_201_ASH032,5,Lethrinidae,Lethrinus,rubrioperculatus
FP_201_ASH032,1,Lethrinidae,Lethrinus,xanthochilus
FP_201_ASH032,1,Lutjanidae,Lutjanus,bohar
FP_201_ASH032,3,Scombridae,Scomberomorus,commerson
FP_201_ASH032,3,Serranidae,Variola,albimarginata
FP_201_ASH033,2,Carangidae,Carangoides,ferdau
FP_201_ASH033,1,Carangidae,Caranx,ignobilis
FP_201_ASH033,1,Carangidae,Caranx,melampygus
FP_201_ASH033,2,Carcharhinidae,Carcharhinus,amblyrhynchos
FP_201_ASH033,1,Echeneidae,Echeneis,naucrates
FP_201_ASH033,1,Lethrinidae,Gymnocranius,grandoculis
FP_201_ASH033,3,Lethrinidae,Lethrinus,amboinensis
FP_201_ASH033,1,Lethrinidae,Lethrinus,olivaceus
FP_201_ASH033,3,Lethrinidae,Lethrinus,ravus
FP_201_ASH033,9,Lethrinidae,Lethrinus,rubrioperculatus
