"","OP_CODE","SumMaxN","Year","TimeFirstFed","Family","Genus","Species","Scientific","TimeFirstSeen","HasFed","DelayToFeed","Depth","Coral","Habitat","Complexity","Treatment","Gensp","Length","Size_class","Shark_present","MaxN","Small_MaxN","Medium_MaxN","Large_MaxN"
"1","FP_201_ASH002",36,2016,NA,"Carangidae","Carangoides","ferdau","Carangidae Carangoides ferdau",6.8689,0,NA,20,0,"Other","Low","before","Carangoides ferdau",70,"Medium",TRUE,2,0,12,24
"2","FP_201_ASH002",36,2016,NA,"Carangidae","Carangoides","ferdau","Carangidae Carangoides ferdau",6.8689,0,NA,20,0,"Other","Low","arrival ","Carangoides ferdau",70,"Medium",TRUE,2,0,12,24
"3","FP_201_ASH002",36,2016,NA,"Carangidae","Carangoides","ferdau","Carangidae Carangoides ferdau",6.8689,0,NA,20,0,"Other","Low","after","Carangoides ferdau",70,"Medium",TRUE,2,0,12,24
"4","FP_201_ASH002",36,2016,NA,"Carangidae","Carangoides","orthogrammus","Carangidae Carangoides orthogrammus",6.0928,0,NA,20,0,"Other","Low","before","Carangoides orthogrammus",75,"Medium",TRUE,5,0,12,24
"5","FP_201_ASH002",36,2016,NA,"Carangidae","Carangoides","orthogrammus","Carangidae Carangoides orthogrammus",6.0928,0,NA,20,0,"Other","Low","arrival ","Carangoides orthogrammus",75,"Medium",TRUE,5,0,12,24
"6","FP_201_ASH002",36,2016,NA,"Carangidae","Carangoides","orthogrammus","Carangidae Carangoides orthogrammus",6.0928,0,NA,20,0,"Other","Low","after","Carangoides orthogrammus",75,"Medium",TRUE,5,0,12,24
"7","FP_201_ASH002",36,2016,NA,"Carangidae","Carangoides","plagiotaenia","Carangidae Carangoides plagiotaenia",9.0439,0,NA,20,0,"Other","Low","before","Carangoides plagiotaenia",50,"Medium",TRUE,1,0,12,24
"8","FP_201_ASH002",36,2016,NA,"Carangidae","Carangoides","plagiotaenia","Carangidae Carangoides plagiotaenia",9.0439,0,NA,20,0,"Other","Low","arrival ","Carangoides plagiotaenia",50,"Medium",TRUE,1,0,12,24
"9","FP_201_ASH002",36,2016,NA,"Carangidae","Carangoides","plagiotaenia","Carangidae Carangoides plagiotaenia",9.0439,0,NA,20,0,"Other","Low","after","Carangoides plagiotaenia",50,"Medium",TRUE,1,0,12,24
"10","FP_201_ASH002",36,2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",6.0928,0,NA,20,0,"Other","Low","before","Caranx melampygus",117,"Large",TRUE,19,0,12,24
"11","FP_201_ASH002",36,2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",6.0928,0,NA,20,0,"Other","Low","arrival ","Caranx melampygus",117,"Large",TRUE,19,0,12,24
