"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Depth","log.SumMaxN","log.Small_MaxN","log.Medium_MaxN","log.Large_MaxN","Year","Shark_present","Complexity","cumsum.wi"
"Medium.Complexity+Depth","Complexity+Depth",1441.4506565969,1460.51039781992,0.05945,NA,4,0,0,1.769,0.239,0.094,1,0,0,0,0,0,0,1,0.239
"Medium.Complexity+Depth+log.Medium_MaxN","Complexity+Depth+log.Medium_MaxN",1442.41516658543,1464.57191209538,0.06517,NA,5,0,0.965,5.83,0.148,0.012,1,0,0,1,0,0,0,1,0.387
"Medium.Complexity+Depth+Shark_present","Complexity+Depth+Shark_present",1442.93414869844,1465.10723140268,0.06005,NA,5,0,1.483,6.365,0.114,0.009,1,0,0,0,0,0,1,1,0.501
"Medium.Complexity","Complexity",1442.98959264731,1458.92663546322,0.04902,NA,3,0,1.539,0.185,0.111,0.209,0,0,0,0,0,0,0,1,0.612
"Medium.Complexity+log.Medium_MaxN","Complexity+log.Medium_MaxN",1444.18007902151,1463.24023044384,0.05423,NA,4,0,2.729,4.498,0.061,0.024,0,0,0,1,0,0,0,1,0.673
"Large.log.Large_MaxN","log.Large_MaxN",759.776641400258,769.548280195206,0.06061,NA,2,0,0,0,0.228,0.406,0,0,0,0,1,0,0,0,0.228
"Large.Complexity+log.Large_MaxN","Complexity+log.Large_MaxN",760.611073102854,774.980551015577,0.1079,NA,4,0,0.834,5.432,0.15,0.027,0,0,0,0,1,0,0,1,0.378
"Large.log.Large_MaxN+log.Small_MaxN","log.Large_MaxN+log.Small_MaxN",761.817397076109,775.542399710063,0.08405,NA,3.47,0,2.041,5.994,0.082,0.02,0,0,1,0,1,0,0,0,0.46
"Large.Depth+log.Large_MaxN","Depth+log.Large_MaxN",761.941010221119,774.038478541692,0.06251,NA,3,0,2.164,4.49,0.077,0.043,1,0,0,0,1,0,0,0,0.537
"Small.Year","Year",362.631023158744,369.48876047225,0.04685,NA,2,0,0,0.693,0.154,0.184,0,0,0,0,0,1,0,0,0.154
"Small.null","null",363.511010801774,368.795849402074,0,NA,1,0,0.88,0,0.099,0.261,0,0,0,0,0,0,0,0,0.253
"Small.Depth","Depth",364.181211454644,371.039310302267,0.02987,NA,2,0,1.55,2.243,0.071,0.085,1,0,0,0,0,0,0,0,0.324
"Small.log.SumMaxN+Year","log.SumMaxN+Year",364.381130969667,372.707287387909,0.06173,NA,3,0,1.75,3.911,0.064,0.037,0,1,0,0,0,1,0,0,0.388
"Small.log.SumMaxN","log.SumMaxN",364.924598329994,371.782420731315,0.01605,NA,2,0,2.294,2.987,0.049,0.059,0,1,0,0,0,0,0,0,0.437
"Small.log.Medium_MaxN+Year","log.Medium_MaxN+Year",364.971750907254,373.298152008726,0.05125,NA,3,0,2.341,4.502,0.048,0.027,0,0,0,1,0,1,0,0,0.485
"Small.log.Small_MaxN+Year","log.Small_MaxN+Year",365.030839101969,373.357157310438,0.04961,NA,3,0,2.4,4.561,0.046,0.027,0,0,1,0,0,1,0,0,0.531
"Small.Shark_present+Year","Shark_present+Year",365.128941393433,373.454736223721,0.04655,NA,3,0,2.498,4.659,0.044,0.025,0,0,0,0,0,1,1,0,0.575
"Small.Depth+log.Medium_MaxN","Depth+log.Medium_MaxN",365.31997647084,373.646192569795,0.04571,NA,3,0,2.689,4.85,0.04,0.023,1,0,0,1,0,0,0,0,0.615
"Small.log.Small_MaxN","log.Small_MaxN",365.374821332021,372.233078740172,0.00979,NA,2,0,2.744,3.437,0.039,0.047,0,0,1,0,0,0,0,0,0.654
"Small.log.Large_MaxN","log.Large_MaxN",365.489746412114,372.351453721157,0.00572,NA,2,0,2.859,3.556,0.037,0.044,0,0,0,0,1,0,0,0,0.691
"Small.log.Medium_MaxN","log.Medium_MaxN",365.55234306856,372.410583747537,0.00504,NA,2,0,2.921,3.615,0.036,0.043,0,0,0,1,0,0,0,0,0.727
